score,review
1.0 out of 5 stars,"
  Don’t waste your money! Bought this shirt for my husband and the cuffs frayed after the first wash. Returned it and got a replacement. Washed that one and the same thing happened even before wearing! Poor quality!
"
1.0 out of 5 stars,"
  The shirt arrived bunched up in an envelope, torn!!!
"
4.0 out of 5 stars,"
  The size 18 neck, 33/34 sleeve made it a Big and Tall, so had too much volume around the middle that I didn't need. Returned it for full credit from Amazon.
"
5.0 out of 5 stars,"
  Great.
"
5.0 out of 5 stars,"
  This shirt is exactly as pictured. It was true to size and is classic fit shirt. the quality is very good and durable. Has been washed several times and has not lost its color and did not shrink. Great shirt!
"
5.0 out of 5 stars,"
  Good quality product for the price.  Would buy it again
"
5.0 out of 5 stars,"
  Fits a big man well<br>Had the shirt laundered with extra starch it looked like the shirt you could buy
"
5.0 out of 5 stars,"
  Great shirt and actually fit as expected.
"
4.0 out of 5 stars,"
  Fits tight
"
4.0 out of 5 stars,"
  It's a nice shirt, but all of my husband's other shirts are from L L Bean, and the Van Heusen shirt is not of that quality.
"
5.0 out of 5 stars,"
  very good shirt,
"
5.0 out of 5 stars,"
  Nice shirt
"
5.0 out of 5 stars,"
  Can't go wrong with a Van Heusen wherever you a Gen Z or Boomer.
"
5.0 out of 5 stars,"
  Great product for the price.
"
5.0 out of 5 stars,"
  I love this shirt !!!
"
2.0 out of 5 stars,"
  OK shirt, but it is smaller than other shirts I have with the same size.
"
5.0 out of 5 stars,"
  Very good product.
"
5.0 out of 5 stars,"
  This top of the line button down collar shirt has that tailored look and feel, one of Van Heusen's best. It fit well and quickly became one of my favorites for work and play.
"
5.0 out of 5 stars,"
  Good quality, looks good and fit as expected!
"
